Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
"Uncharted: Drakes Fortune","PS3",2007,"Action","Sony Computer Entertainment",2.310000,1.730000,0.120000,0.780000,4.940000
"Madden NFL 06","PS2",2005,"Sports","Electronic Arts",3.980000,0.260000,0.010000,0.660000,4.910000
"LEGO Star Wars: The Complete Saga","DS",2007,"Action","LucasArts",2.890000,1.540000,0.000000,0.460000,4.900000
"Diddy Kong Racing","N64",1997,"Racing","Nintendo",2.910000,0.990000,0.890000,0.100000,4.880000
"Monster Hunter Freedom 3","PSP",2010,"Role-Playing","Capcom",0.000000,0.000000,4.870000,0.000000,4.870000
"Dr. Mario","NES",1990,"Puzzle","Nintendo",2.620000,0.600000,1.520000,0.100000,4.850000
"God of War III","PS3",2010,"Action","Sony Computer Entertainment",2.740000,1.360000,0.120000,0.630000,4.840000
"StarCraft II: Wings of Liberty","PC",2010,"Strategy","Activision",2.560000,1.680000,0.000000,0.590000,4.830000
"Assassins Creed","PS3",2007,"Adventure","Ubisoft",1.910000,2.000000,0.090000,0.830000,4.830000
"FIFA 15","PS3",2014,"Sports","Electronic Arts",0.570000,3.140000,0.040000,1.070000,4.820000
"Crash Team Racing","PS",1999,"Racing","Sony Computer Entertainment",2.570000,1.570000,0.440000,0.210000,4.790000
"FIFA 17","PS4",2016,"Sports","Electronic Arts",0.280000,3.750000,0.060000,0.690000,4.770000
"Batman: Arkham City","X360",2011,"Action","Warner Bros. Interactive Entertainment",2.990000,1.310000,0.040000,0.410000,4.760000
"Driver 2","PS",2000,"Action","Atari",2.360000,2.100000,0.020000,0.250000,4.730000
"The Simpsons: Hit & Run","PS2",2003,"Racing","Vivendi Games",1.730000,2.190000,0.000000,0.790000,4.700000
"Tony Hawks Pro Skater 2","PS",2000,"Sports","Activision",3.050000,1.410000,0.020000,0.200000,4.680000
"Animal Crossing: City Folk","Wii",2008,"Simulation","Nintendo",1.870000,1.120000,1.320000,0.370000,4.680000
"The Lord of the Rings: The Two Towers","PS2",2002,"Action","Electronic Arts",1.940000,1.950000,0.080000,0.700000,4.670000
"Forza Motorsport 4","X360",2011,"Racing","Microsoft Game Studios",2.080000,2.040000,0.060000,0.470000,4.640000
"Tomb Raider","PS",1996,"Action","Eidos Interactive",2.290000,1.970000,0.130000,0.240000,4.630000
"Guitar Hero III: Legends of Rock","Wii",2007,"Misc","Activision",3.060000,1.120000,0.000000,0.440000,4.620000
"The Legend of Zelda: A Link to the Past","SNES",1991,"Action","Nintendo",2.420000,0.910000,1.150000,0.130000,4.610000
"The Legend of Zelda: The Wind Waker","GC",2002,"Action","Nintendo",2.600000,0.990000,0.890000,0.130000,4.600000
"Mario & Sonic at the Olympic Winter Games","Wii",2009,"Sports","Sega",1.890000,1.990000,0.220000,0.480000,4.580000
"Luigis Mansion: Dark Moon","3DS",2013,"Action","Nintendo",1.780000,1.390000,1.100000,0.300000,4.580000
"Splatoon","WiiU",2015,"Shooter","Nintendo",1.550000,1.150000,1.440000,0.430000,4.570000
"The Last of Us","PS4",2014,"Action","Sony Computer Entertainment",1.780000,1.870000,0.070000,0.820000,4.550000
"Guitar Hero III: Legends of Rock","X360",2007,"Misc","Activision",3.190000,0.920000,0.010000,0.420000,4.530000
"Madden NFL 2005","PS2",2004,"Sports","Electronic Arts",4.180000,0.260000,0.010000,0.080000,4.530000
"Pitfall!","2600",1981,"Platform","Activision",4.210000,0.240000,0.000000,0.050000,4.500000
"Madden NFL 07","PS2",2006,"Sports","Electronic Arts",3.630000,0.240000,0.010000,0.610000,4.490000
"Spider-Man: The Movie","PS2",2002,"Action","Activision",2.710000,1.510000,0.030000,0.230000,4.480000
